Year,Round,BS,WS,BS_vs_WS,Seed_Diff,BS_Rev,BS_RankWins,BS_RankGames,BS_RankWinPct,WS_RankWins,WS_RankGames,WS_RankWinPct,BS_ScoMar,WS_ScoMar,ScoMar_Diff,BS_ATRatio,WS_ATRatio,ATRatio_Diff,BS_OppATRatio,WS_OppATRatio,OppATRatio_Diff,BS_ATRatioDiff_Ovr,WS_ATRatioDiff_Ovr,ATRatio_Diff_Ovr,BS_OffEff,WS_OffEff,OffEff_Diff,BS_DefEff,WS_DefEff,DefEff_Diff,BS_EffDiff_Ovr,WS_EffDiff_Ovr,EffDiff_Ovr
2015,1,Michigan State,Georgia,0,3,17836717,2,8,0.250,0,5,0.000,7.5,3.8,3.7,1.462,0.976,0.486,0.983,0.954,0.029,0.479,0.022,0.457,1.07,1.001,0.069,0.958,0.944,0.014,0.112,0.057,0.055
2015,1,Virginia,Belmont,0,13,9954632,4,7,0.571,1,1,1.000,13.9,3.1,10.8,1.361,1.105,0.256,0.863,1.063,-0.2,0.498,0.042,0.456,1.086,1.073,0.013,0.855,1.027,-0.172,0.231,0.046,0.185
2015,1,Duke,Robert Morris,0,15,33772145,7,9,0.778,0,1,0.000,15.4,0.5,14.9,1.399,0.895,0.504,0.922,0.992,-0.07,0.477,-0.097,0.574,1.172,0.999,0.173,0.946,0.992,-0.046,0.226,0.007,0.219
2015,1,San Diego State,St Johns,0,1,5523058,2,3,0.667,0,5,0.000,7.6,2.8,4.8,0.903,1.151,-0.248,0.707,1.026,-0.319,0.196,0.125,0.071,0.978,1.01,-0.032,0.857,0.969,-0.112,0.121,0.041,0.08
2015,1,Utah,SF Austin,0,7,8343112,1,5,0.200,0,0,0.000,13.6,12.8,0.8,1.204,1.266,-0.062,0.76,0.629,0.131,0.444,0.637,-0.193,1.104,1.125,-0.021,0.893,0.94,-0.047,0.211,0.185,0.026
2015,1,Georgetown,Eastern Washington,0,9,10357033,3,6,0.500,0,2,0.000,5.7,4.6,1.1,1.036,1.14,-0.104,0.841,1.203,-0.362,0.195,-0.063,0.258,1.055,1.127,-0.072,0.971,1.061,-0.09,0.084,0.066,0.018
2015,1,SMU,UCLA,1,5,6416266,0,2,0.000,1,7,0.143,9.4,3.8,5.6,1.253,1.158,0.095,0.974,1.142,-0.168,0.279,0.016,0.263,1.067,1.036,0.031,0.922,0.981,-0.059,0.145,0.055,0.09
2015,1,Iowa State,UAB,1,11,10241029,9,13,0.692,0,4,0.000,8.8,0.3,8.5,1.452,1.038,0.414,1.093,0.905,0.188,0.359,0.133,0.226,1.093,0.983,0.11,0.969,0.978,-0.009,0.124,0.005,0.119
2015,1,Iowa,Davidson,0,3,8982803,3,8,0.375,1,4,0.250,7.4,8.8,-1.4,1.279,1.786,-0.507,0.978,1.107,-0.129,0.301,0.679,-0.378,1.046,1.138,-0.092,0.935,1.011,-0.076,0.111,0.127,-0.016
2015,1,Gonzaga,North Dakota State,0,13,12185320,1,2,0.500,0,1,0.000,16,1.9,14.1,1.527,0.926,0.601,0.874,1.095,-0.221,0.653,-0.169,0.822,1.161,1.012,0.149,0.922,0.982,-0.06,0.239,0.03,0.209
2015,2,Kentucky,Cincinnati,0,7,24684543,6,6,1.000,2,2,1.000,20.1,6.3,13.8,1.359,0.912,0.447,0.564,0.929,-0.365,0.795,-0.017,0.812,1.124,1.001,0.123,0.821,0.9,-0.079,0.303,0.101,0.202
2015,2,Maryland,West Virginia,1,1,16720500,2,4,0.500,4,12,0.333,5.7,5.8,-0.1,0.872,1.091,-0.219,0.987,0.6,0.387,-0.115,0.491,-0.606,1.037,1.025,0.012,0.951,0.943,0.008,0.086,0.082,0.004
2015,2,Notre Dame,Butler,0,3,3533991,6,8,0.750,5,7,0.714,12.2,8,4.2,1.618,1.029,0.589,1.099,0.861,0.238,0.519,0.168,0.351,1.179,1.028,0.151,0.994,0.909,0.085,0.185,0.119,0.066
2015,2,Kansas,Wichita State,1,5,19141222,10,15,0.667,1,3,0.333,6.3,11.9,-5.6,1.024,1.437,-0.413,0.955,0.677,0.278,0.069,0.76,-0.691,1.039,1.083,-0.044,0.947,0.898,0.049,0.092,0.185,-0.093
2015,2,Wisconsin,Oregon,0,7,21309114,2,4,0.500,2,7,0.286,14.8,3.8,11,1.687,1.195,0.492,0.941,1.043,-0.102,0.746,0.152,0.594,1.191,1.064,0.127,0.948,1.01,-0.062,0.243,0.054,0.189
2015,2,North Carolina,Arkansas,0,1,20771541,6,13,0.462,0,3,0.000,8.9,7.3,1.6,1.373,1.347,0.026,0.994,0.79,0.204,0.379,0.557,-0.178,1.086,1.07,0.016,0.962,0.97,-0.008,0.124,0.1,0.024
2015,2,Xavier,Georgia State,0,8,12100195,6,9,0.667,0,1,0.000,5.9,7.5,-1.6,1.333,1.268,0.065,1.05,0.857,0.193,0.283,0.411,-0.128,1.077,1.063,0.014,0.989,0.949,0.04,0.088,0.114,-0.026
2015,2,Arizona,Ohio State,0,8,19221755,4,4,1.000,2,5,0.400,16.9,12.3,4.6,1.26,1.345,-0.085,0.707,0.904,-0.197,0.553,0.441,0.112,1.124,1.106,0.018,0.875,0.925,-0.05,0.249,0.181,0.068
2015,2,Villanova,NC State,1,7,10373661,6,6,1.000,3,9,0.333,15.6,4.4,11.2,1.492,1.104,0.388,0.844,1.221,-0.377,0.648,-0.117,0.765,1.134,1.052,0.082,0.903,0.986,-0.083,0.231,0.066,0.165
2015,2,Louisville,UNI,0,1,45835799,3,9,0.333,1,2,0.500,9.1,10.5,-1.4,1.022,1.138,-0.116,0.836,0.849,-0.013,0.186,0.289,-0.103,1.026,1.094,-0.068,0.89,0.917,-0.027,0.136,0.177,-0.041
2015,2,Oklahoma,Dayton,0,8,10907532,7,14,0.500,1,2,0.500,8.7,6.9,1.8,1.026,1.184,-0.158,0.838,0.882,-0.044,0.188,0.302,-0.114,1.029,1.027,0.002,0.903,0.923,-0.02,0.126,0.104,0.022
